Material_health;Product_circularity;Product_number;Product_description
***;****;709039900000;TRINKFLASCHE ONETOUCH 550ML TÜRKIS
***;****;709040000000;TRINKFLASCHE  ONETOUCH 700ML TÜRKIS
***;****;709040100000;KAMBUKKA LAGOON  400ML HAPPY ALIEN
***;****;709040200000;KAMBUKKA LAGOON  500ML RAINBOW UNICORN
***;****;709040300000;ME ISOSPEISEGEFÄSS DW 0.45L SCHWARZ GROBKÖRNIG
***;****;709040400000;ME ISOSPEISEGEFÄSS DW 0.7L SCHWARZ GROBKÖRNIG
***;****;709040500000;GLASGEFÄSS 500ML
***;****;709040600000;GLASGEFÄSS 1000ML
***;****;709040700000;GLASGEFÄSS MIT SILIKONBAND 700ML
***;****;709040800000;GLASGEFÄSS MIT SILIKONBAND 1000ML
***;****;709040900000;LÉKUÉ LUNCH BAG TO GO NATURE 
***;**;709041000000;MEPAL DISPLAY BESTECK-SET-ELLIPSE NORDIC BLUE
***;****;709041100000;MEPAL SNACKPOT ELLIPSE 500ML NORDIC BLUE
***;**;709041200000;MEPAL LUNCHPOT ELLIPSE 700ML NORDIC BLUE
***;**;709041400000;MEPAL SALATBOX ELLIPSE 1.9L NORDIC BLUE
***;****;709041500000;MEPAL BENTO LUNCHBOX LARGE 1.5L NORDIC BLUE
***;****;709041600000;MEPAL BENTO LUNCHBOX MIDI 0.9L NORDIC BLUE
***;****;709041700000;MEPAL SNACKPOT ELLIPSE 500ML NORDIC DENIM
***;**;709041800000;MEPAL SALATBOX ELLIPSE 1.9L NORDIC DENIM
***;****;709041900000;MEPAL BENTO LUNCHBOX LARGE 1.5L NORDIC DENIM
***;****;709042000000;MEPAL BENTO LUNCHBOX MIDI 0.9L NORDIC DENIM
***;**;709042100000;WIEDERVERWENDBARE BEUTEL 118ML
***;**;709042200000;WIEDERVERWENDBARE BEUTEL 330ML
***;**;709042300000;WIEDERVERWENDBARE BEUTEL 1000ML
***;**;709042400000;WIEDERVERWENDBARE BEUTEL 1950ML
***;****;709042600000;LUNCHBOX 0.85L QUADRATISCH 13.5X13X8CM
***;****;709042700000;LUNCHBOX 0.4L 12.5X9X6CM
***;****;709042800000;LUNCHBOX 0.45L 16X11X4CM
***;****;709042900000;LUNCHBOX 1.25L 19.5X14.5X6.5CM
***;**;709043000000;BESTECK TO GO SCHWARZ 
***;****;700166600004;GLAS SALATSCHÜSSEL 26CM
***;****;700166600003;GLAS SALATTELLER 21CM
***;****;700166600002;GLAS SCHÜSSEL 15CM
***;****;700166600001;GLAS KOMPOTTTELLER 14.8CM
***;****;700169900000;SCHNEIDBRETT KUH
***;****;700156700000;KUCHENPLATTE 16X35CM
***;****;700155800000;SCHALE 20CM
***;****;700155900000;SCHALE 25CM
***;****;700166700000;SCHÜSSEL KLEIN 15CM
***;****;700161500000;MELODY 2ER SET APERO TELLER
***;****;700155200001;MELODY ESPRESSOTASSE MIT UNTERTELLER
***;****;700155200002;MELODY KAFFEETASSE MIT UNTERTELLER
***;****;700155200003;MELODY BOWL 14CM
***;****;700155200004;MELODY BOWL 18CM
***;****;700155200005;MELODY DESSERTTELLER 22CM
***;****;700155200006;MELODY BOWL 23CM
***;****;700155200008;MELODY TELLER TIEF 22CM
***;****;700161300000;MELODY CAKEPLATTE 39X17.5CM
***;****;700165100001;SUSHI SET BLAU
***;****;700165100002;SUSHI SET BRAUN
***;****;700165100003;SUSHI SET ROT
***;****;700166200006;BOWL 15CM GRÜN
***;****;700166200005;BOWL 15CM GRAU
***;****;700166200004;BOWL 12CM GRÜN
***;****;700166200003;BOWL 12CM GRAU
***;****;700166200002;BOWL 9CM GRÜN
***;****;700166200001;BOWL 9CM GRAU
***;****;700166400005;PLATTE OVAL 30.5CM ORGANIC GREY
***;****;700166400004;PLATTE OVAL 24.8CM ORGANIC GREY
***;****;700166400003;SCHÜSSEL 23CM ORGANIC GREY
***;****;700166400002;SCHÜSSEL 17.5CM ORGANIC GREY
***;****;700166400001;SCHÜSSEL 12.8CM ORGANIC GREY
***;****;700167700000;TASSE HERZ OHNE HENKEL
***;****;700167800000;TASSE HERZ
***;****;700168000001;TASSE WEISS CHOCOLATE
***;****;700168000002;TASSE SCHWARZ CHOCOLATE
***;****;700166100001;TASSE SWISSNESS HERZ
***;****;700166100002;TASSE SWISSNESS
***;****;700168100001;MUG YELLOW
***;****;700168100002;MUG BLAU
***;****;700169800000;TASSE HERZ EMBOSSED
***;****;700168100003;TASSE GRAU
***;****;700168100004;TASSE GRÜN
***;****;700167200000;APEROSCHALE 2ER SET RUND
***;****;700165900001;MUG WEISS MATT
***;****;700165900002;MUG GRAU MAT
***;****;700165400001;PLATTE 20CM
***;****;700165400002;PLATTE 26.4CM
***;****;700165400003;PLATTE 29.4CM
***;****;700165400004;PLATTE 34.5CM
***;****;700168400000;EIERBECHER 4ER SET MIT PUNKTE
***;****;700169000000;BROTKORB METALL
*;**;700169400000;SERVIERTABLETT MELAMIN
***;****;700164700004;PLATTE UNI SCHWARZ 24.5CM
***;****;700164700003;PLATTE UNI SCHWARZ
***;****;700164700002;BOWL UNI SCHWARZ
***;****;700164700001;DIP BOWL UNI SCHWARZ
***;****;700164800004;PLATTE UNI WEISS 24.5CM
***;****;700164800003;PLATTE UNI WEISS
***;****;700164800002;BOWL UNI WEISS
***;****;700164800001;DIP BOWL UNI WEISS
***;****;700166800000;APEROSCHALE 2ER SET AUF BAMBUSTRAY
***;****;700167400000;SCHNEIDEBRETT ORGANIC 32CM
***;****;700168600000;ZUCKERSTREUER 145ML
***;**;700169100000;BROTKORB MIT HENKEL
***;**;700169200000;BROTKORB
***;**;700169500000;SERVIERTABLETT ANTIRUTSCH BESCHICHTUNG
***;****;700169600000;SERVIERTABLETT MIT HENKEL 35CM
***;****;700164900005;PLATTE KARO
***;****;700164900006;PLATTE STREIFEN
***;****;700164900004;PLATTE PUNKTE
***;****;700164900001;BOWL PUNKTE
***;****;700164900002;BOWL KARO
***;****;700164900003;BOWL STREIFE
***;****;700166300004;BOWL 19CM ZWEIFARBIG
***;****;700166300003;BOWL 15.5CM ZWEIFARBIG
***;****;700166300002;BOWL 12.5CM ZWEIFARBIG
***;****;700166300001;BOWL 10.5CM ZWEIFARBIG
