Product_number;Product_description;M-Check Packaging
106273900000;M-CLAS PANIERMEHL 300G BTL;4
105387200000;SQ HASELNUESSE 200G;4
105385800000;SQ MANDELN 200G;4
105362500000;SQ NUSSMISCHUNG 200G;4
105354000000;SQ PECANNUESSE 150G BTL;4
105351200000;SQ MACADAMIANUESSE 150G;4
105350500000;SQ NUSSMISCHUNG GEROE 170G;4
105350400000;SQ MANDELN GEROESTET 200G;4
105350300000;SQ HASELNUESSE GEROES 200G;4
105330200000;M-Cla Pistazienkerne 60g;3
105320000000;SQ CASHEWNUESSE 200G BTL;4
105319100000;SQ MAX HAV PARANUESSE;4
105317400000;SQ WALNUSSKERNE 130G BTL;3
105286500000;SQ MANGOSCHNITZE 200G;3
105271300000;SQ KOKOSSCHNITZE 100G;3
105260100000;BIO Sultaninen 400g;4
105255700000;SQ CHERRY PICKER 170G;4
105255000000;SQ CHOCO FRUITS NUTS MIX 170G;4
105251000000;M-CLAS PFLAUMEN 300G BTL;4
105240800000;YOU Protein Mix 170g;3
105240100000;SQ SOFT FRUIT PFLAUM.250G;3
105232000000;SQ FEIGEN SMYRNA 500G BTL;4
105222200000;SQ PFLAUMEN 300G BTL;4
105222100000;SQ TUERK. APRIKOSEN;4
105222000000;SQ APFELSTUECK 200G BTL;3
105221500000;SQ MEDJOOL DATTELN 227G;2
105220800000;SQ MISCHOBST;3
105220600000;SQ ISLAND HOPPER 170G;4
105220000000;SQ DATTELN 300G BTL;4
105211900000;SQ CRANBERRY & NUTS 200G;4
105211800000;SQ STUDENTENFUTTER;4
105207600000;SQ CASHEW & CRANBERRY 170G;4
105207500000;SQ CRANBERRIES 200G;4
105207300000;M-CLAS TUERK. APRIKOSEN;4
105205000000;SQ APRIKOSEN GETR200G BTL;4
105202500000;M-CLAS APFELSTUECK 250G BTL;3
105202400000;SQ ANANASRINGE 100G BTL;3
105000700000;BIO K DOERRBOHNEN 100G;3
104488100000;BIO K KARTOFFELSTOCK 50G;3
104488000000;BIO K KARTOFFELSTOCK 2X95;2
104486000000;V-LOVE ERBSEN SCHNETZEL;3
104484000000;MIFLOC INSTANT 3X50G;1
104478400000;MIFLOC MIT KUERBIS 2X95G;2
104476700000;SE MIFLOC KART.STOCK 5X95;2
104476400000;MIFLOC INSTANT 4X110G;2
104476300000;MIFLOC KART.STOCK 4X95G;2
104221800000;M-CLAS OAT RINGS 500G;3
102714000000;Patissier Pistazien gehackt 35g;3
102535200000;CUP LOVERS MUFFIN CAKE;3
102535100000;CUP LOVERS BROWNIE;3
102530000000;HOMEMADE MARMOR CAKE;3
102525700000;HOMEMADE CUPCAKES;3
102523300000;Bärentatzen Schnitte;3
102523100000;HOMEMADE MUFFINS;3
102523000000;HOMEMADE BROWNIES;3
102522900000;HOMEMADE RUEEBLITORTE;3
102522800000;HOMEMADE TIROLER CAKE;3
102522600000;HOMEMADE VULCANO;3
102522400000;HOMEMADE CHOKO CAKE;3
102522100000;HOMEMADE ZITRONEN CAKE;3
102522000000;HOMEMADE WHITE BROWNIES;3
102502300000;HOMEMADE FUN CAKE;3
102501800000;HOMEMADE PANCAKES;3
102501000000;HOMEMADE APFELKUCHEN;3
101942400000;FARM CHIPS WAVE CR.FRAICH;3
101942300000;FARM CHIPS WAVE BACON;3
101942000000;FARM CHIPS TORTI. RIBELM.;3
101939700000;FARM CHIPS WAVE PAPRIKA;3
101938900000;SE FARM CHIPS WAVE PAPR.;3
101938700000;FARM CHIPS CH-KRAEUT. 30G;3
101938500000;FARM CHIPS WAVE MILD CHI.;3
101938300000;SE FARM CHIPS ROSMAR.300G;3
101938200000;SE FARM CHIPS BLUE/NATURE;3
101938100000;SE FARM CHIPS CH-KRAEUTER;3
101938000000;SE FARM IPS CHIPS NATURE;3
101935500000;FARM CHIPS ROSMARIN 150G;3
101935400000;FARM CHIPS RANDEN&NATURE;3
101935100000;FARM CHIPS CH-KRAEUTER;3
101935000000;FARM CHIPS IPS NAT. 150G;3
101939900000;Farm Chips Wave IPS Liebstöckl;3
101937600000;Farm Chips Wave IPS Meerrettich;3
101419400000;SQ HASELNUESSE GEROES RA 200G;4
101417300000;SQ SS MIX MAIS HASELNUSS;3
101417200000;SQ SS MIX CASHEW MANDEL;3
101417100000;SQ SS MIX CURRY CASHEW;3
101417000000;SQ SS MANDEL PAPAYA;3
101416800000;M-SEL Salted Caramel Mandeln 140g;3
101416700000;M-SEL Baru Nuss geröstet gesalzen 130g;3
101413600000;SE SQ NUSS-SINFONIE 340G;4
101413400000;SE SQ CASHEWNUESSE 340G;4
101413300000;SE SQ NUSSMISCHUNG 340G;4
101411600000;SQ Prem LE Pistazien Cranberry 170g;3
101409400000;SQ NUSSMISCHUNG CURRY;3
101408300000;SQ PAPRIKA-CASHEWNUESSE;3
101405400000;SQ MACADAMIANUESSE 125G;3
101403200000;SQ PISTAZIEN GESCHAELT;3
101402600000;SQ Nussmischung geröstet 170G;4
101402500000;SQ MANDELN GEROESTET 200G;4
101402400000;SQ SALZMANDELN 170G;3
101402300000;SQ RAUCHMANDELN 170G;3
101401700000;SQ CASHEWNUESSE 170G;3
101400700000;SQ PEKANNUESSE 170G;3
101400600000;SQ NUSSMISCHUNG 170G;3
101400200000;SQ NUSS-SINFONIE 170G;3
101400100000;SQ NUSSMIX BASILIK. ZITR.;3
100541800000;BUNNY FAMILY DUO 110G;2
100516600000;BUNNY NOIR 55G;3
100512800000;O-NEST.BUNNY&FLINI EILI;3
100502400000;BUNNY MILCH FARBIG 900G;3
100502300000;BUNNY MILCH FARBIG 55G;3
100502200000;FREY BUNNY MILCH MINI;2
100502100000;FREY BUNNY MILCH STANGE;2
100502000000;BUNNY&FLINI OSTERMISCHUNG;3
100501600000;BUNNY MILCH FARBIG 170G;4
100138700000;C. NECAAYO NOIR 65% ZITRONE 100G;2
100138600000;C. NECAAYO NOIR 65% 100G;2
100138500000;C. NECAAYO MILCHSCHOKOLADE CARAMEL-NOUGAT 100G;2
100138400000;C. NECAAYO MILCHSCHOKOLADE 100G;2
161623100000;BIO K HACKSPINAT 500G;4
161623300000;BIO K RAHMSPINAT 500G;4
161623500000;BIO K BLATTSPINAT 500G;4
161625200000;SE BIO K HACKSPINAT 2X;4
161615400000;M-BUD RAHMSPINAT 800G;4
153225300000;M-Bud Tomatensauce 500ml;4
104485300000;Rösti mit Süsskartoffeln;4
164024700000;V-LOVE VEGAN BALLS 300G;3
111411600200;FH IP BASLER-BROT 250G HB;4
111011200200;FH ADR ZH IP HOLZFAELLERBR. RUCH 250G HB;4
111021200200;FH ADR ZH IP HOLZFAELLERBROT 250G HB;4
111441700200;FH IP CENTERBROT 250G HB;4
111419100200;FH ADR IP HOLZFAELLERBROT 250G HB;4
